구,동,점포수,총면적,동별_점포밀도
중랑구,신내2동,56.0,168693.0,0.0003
종로구,종로1·2·3·4가동,12372.0,75783100.0,0.0002
용산구,이촌1동,353.0,1604688.0,0.0002
용산구,용산2가동,775.0,4337560.0,0.0002
용산구,이태원1동,5998.0,32758947.0,0.0002
광진구,화양동,3463.0,22081458.0,0.0002
동대문구,회기동,1622.0,7206030.0,0.0002
강북구,삼각산동,183.0,1134222.0,0.0002
도봉구,창4동,341.0,1514288.0,0.0002
노원구,상계2동,2892.0,18944840.0,0.0002
노원구,중계4동,639.0,3372360.0,0.0002
서대문구,남가좌1동,206.0,1045541.0,0.0002
마포구,서교동,10634.0,60619536.0,0.0002
마포구,연남동,4701.0,23493645.0,0.0002
마포구,아현동,384.0,2242235.0,0.0002
관악구,서원동,1005.0,4940460.0,0.0002
서초구,서초2동,3996.0,25347960.0,0.0002
동대문구,이문2동,31.0,145820.0,0.0002
종로구,무악동,42.0,756744.0,0.0001
종로구,교남동,757.0,6457548.0,0.0001
종로구,사직동,4100.0,30772344.0,0.0001
종로구,청운효자동,901.0,8913570.0,0.0001
종로구,가회동,1210.0,13971634.0,0.0001
종로구,혜화동,2664.0,20696000.0,0.0001
종로구,종로5·6가동,1798.0,16109121.0,0.0001
종로구,창신2동,444.0,5175608.0,0.0001
종로구,창신1동,850.0,7224508.0,0.0001
종로구,숭인2동,384.0,6140804.0,0.0001
중구,소공동,7506.0,57342251.0,0.0001
중구,회현동,2056.0,27104407.0,0.0001
중구,명동,4665.0,37082892.0,0.0001
중구,필동,1564.0,10657744.0,0.0001
중구,장충동,663.0,12170708.0,0.0001
중구,다산동,944.0,11523208.0,0.0001
중구,약수동,221.0,1592596.0,0.0001
중구,신당동,1386.0,13648499.0,0.0001
중구,청구동,149.0,2489580.0,0.0001
중구,황학동,973.0,7067915.0,0.0001
중구,신당5동,658.0,6872760.0,0.0001
용산구,용문동,748.0,8682775.0,0.0001
용산구,한강로동,4224.0,67903778.0,0.0001
용산구,청파동,1193.0,18334366.0,0.0001
용산구,원효로1동,509.0,6026792.0,0.0001
용산구,남영동,1508.0,15038420.0,0.0001
용산구,이태원2동,1047.0,16302200.0,0.0001
용산구,한남동,1953.0,30875064.0,0.0001
성동구,옥수동,246.0,2401932.0,0.0001
성동구,금호4가동,470.0,3500646.0,0.0001
성동구,금호2·3가동,598.0,5578552.0,0.0001
성동구,금호1가동,215.0,1758804.0,0.0001
성동구,왕십리2동,287.0,4435664.0,0.0001
성동구,행당1동,1395.0,15697628.0,0.0001
성동구,왕십리도선동,854.0,6812336.0,0.0001
성동구,성수1가2동,2236.0,17109751.0,0.0001
성동구,사근동,749.0,7023184.0,0.0001
성동구,성수1가1동,993.0,13649846.0,0.0001
성동구,용답동,567.0,7600461.0,0.0001
성동구,성수2가1동,2254.0,24771892.0,0.0001
성동구,성수2가3동,1893.0,27603955.0,0.0001
광진구,자양4동,1154.0,14860246.0,0.0001
광진구,자양3동,205.0,3837707.0,0.0001
광진구,군자동,2343.0,25098872.0,0.0001
광진구,중곡1동,689.0,9280886.0,0.0001
광진구,자양2동,671.0,12890445.0,0.0001
광진구,자양1동,913.0,17012792.0,0.0001
광진구,중곡3동,615.0,11782113.0,0.0001
광진구,구의1동,1815.0,20782311.0,0.0001
광진구,중곡2동,1041.0,19269603.0,0.0001
광진구,중곡4동,595.0,9762500.0,0.0001
광진구,구의2동,196.0,3778650.0,0.0001
광진구,구의3동,950.0,15202548.0,0.0001
광진구,광장동,419.0,5674080.0,0.0001
동대문구,용신동,2090.0,35047208.0,0.0001
동대문구,제기동,2300.0,24986503.0,0.0001
동대문구,청량리동,194.0,3194596.0,0.0001
동대문구,전농1동,1586.0,26948341.0,0.0001
동대문구,답십리1동,525.0,9021236.0,0.0001
동대문구,이문1동,788.0,7679551.0,0.0001
동대문구,휘경1동,636.0,8625212.0,0.0001
동대문구,전농2동,170.0,2602760.0,0.0001
동대문구,답십리2동,676.0,8300404.0,0.0001
성북구,석관동,1260.0,21613428.0,0.0001
동대문구,장안1동,2023.0,37363700.0,0.0001
동대문구,장안2동,1583.0,23017488.0,0.0001
중랑구,중화2동,935.0,12258356.0,0.0001
중랑구,묵2동,619.0,10332360.0,0.0001
중랑구,면목2동,1388.0,19788920.0,0.0001
중랑구,상봉2동,1759.0,22997298.0,0.0001
중랑구,면목4동,199.0,3114108.0,0.0001
중랑구,면목7동,744.0,12306368.0,0.0001
중랑구,면목본동,1237.0,22622192.0,0.0001
중랑구,면목3·8동,1502.0,19266414.0,0.0001
중랑구,망우3동,139.0,2207028.0,0.0001
중랑구,망우본동,994.0,13443689.0,0.0001
성북구,정릉3동,566.0,11315948.0,0.0001
성북구,삼선동,1383.0,18597109.0,0.0001
성북구,동선동,2189.0,17713308.0,0.0001
성북구,안암동,1844.0,23606428.0,0.0001
성북구,길음1동,233.0,3391375.0,0.0001
성북구,길음2동,464.0,6426892.0,0.0001
성북구,종암동,835.0,14660438.0,0.0001
성북구,월곡2동,678.0,7445444.0,0.0001
강북구,수유1동,749.0,11564824.0,0.0001
강북구,삼양동,291.0,5641566.0,0.0001
강북구,수유3동,3406.0,30480953.0,0.0001
강북구,송천동,755.0,11254913.0,0.0001
강북구,미아동,1138.0,15555944.0,0.0001
강북구,번1동,687.0,13538732.0,0.0001
강북구,송중동,1126.0,13940398.0,0.0001
강북구,번3동,69.0,1211616.0,0.0001
도봉구,방학3동,70.0,1014333.0,0.0001
도봉구,쌍문3동,598.0,9163878.0,0.0001
도봉구,쌍문4동,16.0,248520.0,0.0001
도봉구,방학1동,1517.0,24667132.0,0.0001
도봉구,창1동,412.0,3049352.0,0.0001
도봉구,쌍문2동,506.0,8717726.0,0.0001
도봉구,창5동,762.0,9838479.0,0.0001
도봉구,창3동,631.0,11382252.0,0.0001
도봉구,도봉2동,287.0,5643406.0,0.0001
노원구,월계1동,805.0,10234044.0,0.0001
노원구,상계1동,957.0,15998751.0,0.0001
노원구,월계2동,87.0,1074312.0,0.0001
노원구,상계10동,61.0,989072.0,0.0001
노원구,상계5동,1011.0,14820575.0,0.0001
노원구,하계1동,175.0,3499320.0,0.0001
노원구,공릉1동,1781.0,19803680.0,0.0001
노원구,공릉2동,640.0,5107670.0,0.0001
노원구,상계3·4동,295.0,5179709.0,0.0001
노원구,중계본동,512.0,4652960.0,0.0001
은평구,수색동,134.0,975888.0,0.0001
은평구,응암3동,1239.0,13646902.0,0.0001
은평구,갈현1동,1808.0,13431272.0,0.0001
은평구,응암1동,932.0,15257364.0,0.0001
은평구,응암2동,292.0,4652904.0,0.0001
은평구,대조동,1555.0,22416748.0,0.0001
은평구,불광1동,910.0,11135606.0,0.0001
은평구,진관동,423.0,7750497.0,0.0001
서대문구,북가좌1동,151.0,1986510.0,0.0001
서대문구,남가좌2동,785.0,11059740.0,0.0001
서대문구,연희동,1608.0,29239342.0,0.0001
서대문구,홍은2동,685.0,8260056.0,0.0001
서대문구,신촌동,5171.0,34918323.0,0.0001
서대문구,홍제1동,679.0,8686920.0,0.0001
서대문구,홍은1동,302.0,2446312.0,0.0001
서대문구,홍제3동,758.0,11324204.0,0.0001
서대문구,북아현동,271.0,3899105.0,0.0001
서대문구,충현동,881.0,8838371.0,0.0001
서대문구,천연동,235.0,2475696.0,0.0001
마포구,망원1동,2261.0,18314768.0,0.0001
마포구,망원2동,963.0,12854760.0,0.0001
마포구,합정동,1363.0,14956917.0,0.0001
마포구,서강동,2083.0,13947503.0,0.0001
마포구,신수동,592.0,8806101.0,0.0001
마포구,대흥동,544.0,5839864.0,0.0001
마포구,용강동,1092.0,8193628.0,0.0001
마포구,염리동,528.0,6193168.0,0.0001
마포구,도화동,1772.0,13525392.0,0.0001
마포구,공덕동,1211.0,13505464.0,0.0001
중구,중림동,548.0,7216384.0,0.0001
양천구,신월1동,1070.0,18791708.0,0.0001
양천구,신월6동,190.0,2148200.0,0.0001
양천구,신정4동,1778.0,23570338.0,0.0001
양천구,신정1동,801.0,6565813.0,0.0001
양천구,목3동,1018.0,10625672.0,0.0001
양천구,목1동,2070.0,23314680.0,0.0001
양천구,신정2동,546.0,7908084.0,0.0001
강서구,방화1동,899.0,16664896.0,0.0001
강서구,방화3동,168.0,3346312.0,0.0001
강서구,화곡3동,495.0,8178984.0,0.0001
강서구,화곡1동,2913.0,43370903.0,0.0001
강서구,가양1동,4932.0,44476008.0,0.0001
강서구,등촌3동,541.0,6953835.0,0.0001
강서구,화곡6동,1567.0,12770586.0,0.0001
강서구,화곡4동,1289.0,23094165.0,0.0001
강서구,가양3동,20.0,166208.0,0.0001
구로구,오류2동,455.0,7610316.0,0.0001
구로구,고척2동,1108.0,19315269.0,0.0001
구로구,개봉3동,775.0,14375254.0,0.0001
구로구,고척1동,515.0,6639926.0,0.0001
구로구,구로4동,1509.0,12985938.0,0.0001
구로구,구로5동,2298.0,28546772.0,0.0001
구로구,가리봉동,1017.0,12540086.0,0.0001
구로구,구로3동,2574.0,28571136.0,0.0001
금천구,가산동,4064.0,76815132.0,0.0001
금천구,시흥1동,1917.0,25361084.0,0.0001
금천구,독산4동,756.0,13963266.0,0.0001
금천구,독산3동,1291.0,17682086.0,0.0001
영등포구,양평1동,459.0,5959384.0,0.0001
영등포구,문래동,1975.0,22400434.0,0.0001
영등포구,양평2동,1140.0,22303972.0,0.0001
영등포구,당산1동,2235.0,20119944.0,0.0001
영등포구,대림3동,1673.0,19582368.0,0.0001
영등포구,대림2동,1154.0,11548624.0,0.0001
영등포구,당산2동,1342.0,14817400.0,0.0001
영등포구,대림1동,498.0,7925886.0,0.0001
영등포구,영등포동,3015.0,32087129.0,0.0001
영등포구,신길6동,595.0,9453211.0,0.0001
영등포구,영등포본동,534.0,10040217.0,0.0001
영등포구,신길4동,124.0,1972696.0,0.0001
동작구,대방동,831.0,13665380.0,0.0001
동작구,신대방2동,1143.0,12116788.0,0.0001
동작구,상도2동,703.0,10218208.0,0.0001
동작구,상도4동,375.0,7323688.0,0.0001
동작구,노량진1동,1495.0,22826902.0,0.0001
동작구,상도1동,1227.0,21309908.0,0.0001
동작구,흑석동,644.0,5608885.0,0.0001
동작구,사당4동,473.0,9353204.0,0.0001
동작구,사당1동,1371.0,16335068.0,0.0001
동작구,사당2동,1857.0,15061280.0,0.0001
관악구,조원동,716.0,11701834.0,0.0001
관악구,신사동,979.0,16981289.0,0.0001
관악구,신원동,622.0,6993895.0,0.0001
관악구,신림동,1820.0,21463760.0,0.0001
관악구,삼성동,269.0,5346876.0,0.0001
관악구,보라매동,667.0,11572474.0,0.0001
관악구,대학동,1458.0,14966192.0,0.0001
관악구,은천동,326.0,2571094.0,0.0001
관악구,청룡동,2000.0,16113308.0,0.0001
관악구,성현동,105.0,1219576.0,0.0001
관악구,중앙동,657.0,10807064.0,0.0001
관악구,낙성대동,1289.0,12616680.0,0.0001
관악구,행운동,515.0,8565996.0,0.0001
관악구,인헌동,598.0,9478000.0,0.0001
서초구,방배본동,809.0,10684528.0,0.0001
서초구,방배2동,2057.0,17067907.0,0.0001
서초구,방배4동,930.0,16378151.0,0.0001
서초구,반포본동,112.0,919168.0,0.0001
서초구,방배1동,896.0,13959016.0,0.0001
서초구,반포4동,1793.0,24933592.0,0.0001
서초구,서초3동,2436.0,35228071.0,0.0001
서초구,잠원동,1757.0,17305170.0,0.0001
서초구,서초1동,3121.0,35325942.0,0.0001
서초구,양재1동,1585.0,23568901.0,0.0001
서초구,양재2동,2475.0,47177005.0,0.0001
강남구,신사동,3164.0,23528492.0,0.0001
강남구,논현1동,5165.0,55489908.0,0.0001
강남구,역삼1동,7863.0,78596140.0,0.0001
강남구,논현2동,3046.0,35192594.0,0.0001
강남구,압구정동,4693.0,35749240.0,0.0001
강남구,도곡1동,171.0,1942724.0,0.0001
강남구,역삼2동,451.0,7716200.0,0.0001
강남구,청담동,3794.0,42049493.0,0.0001
강남구,삼성2동,3446.0,35981664.0,0.0001
강남구,삼성1동,1662.0,25489184.0,0.0001
강남구,대치4동,4013.0,41202812.0,0.0001
강남구,개포2동,358.0,3478120.0,0.0001
강남구,대치2동,1204.0,21726996.0,0.0001
강남구,일원1동,531.0,9478560.0,0.0001
송파구,잠실본동,3346.0,33433520.0,0.0001
송파구,석촌동,2122.0,28273576.0,0.0001
송파구,잠실4동,69.0,930204.0,0.0001
송파구,송파1동,2577.0,28286760.0,0.0001
송파구,방이1동,1055.0,15656972.0,0.0001
송파구,가락본동,2489.0,26341900.0,0.0001
송파구,가락2동,519.0,7298335.0,0.0001
송파구,장지동,396.0,5708940.0,0.0001
송파구,오금동,869.0,16875132.0,0.0001
송파구,마천2동,521.0,7009452.0,0.0001
송파구,거여2동,364.0,4470288.0,0.0001
강동구,천호2동,2932.0,34058291.0,0.0001
강동구,성내1동,1057.0,16023616.0,0.0001
강동구,성내2동,1016.0,17413536.0,0.0001
강동구,암사2동,445.0,3527430.0,0.0001
강동구,천호3동,454.0,8181757.0,0.0001
강동구,암사1동,878.0,12492669.0,0.0001
강동구,성내3동,1730.0,22353008.0,0.0001
강동구,길동,2412.0,32833572.0,0.0001
강동구,둔촌2동,591.0,10950498.0,0.0001
강동구,명일1동,935.0,9892330.0,0.0001
강동구,명일2동,518.0,6412948.0,0.0001
강동구,고덕2동,404.0,6315932.0,0.0001
강동구,상일동,668.0,5077720.0,0.0001
강동구,강일동,97.0,1179440.0,0.0001
종로구,삼청동,667.0,9310791.0,0.0001
중구,을지로동,2448.0,17448750.0,0.0001
중구,광희동,3733.0,51185114.0,0.0001
노원구,상계9동,174.0,1559040.0,0.0001
노원구,상계6·7동,151.0,1609250.0,0.0001
노원구,중계2·3동,350.0,5654656.0,0.0001
마포구,상암동,2492.0,19010880.0,0.0001
영등포구,여의동,5882.0,39487026.0,0.0001
서초구,반포1동,498.0,9516554.0,0.0001
서초구,도곡1동,1257.0,13936200.0,0.0001
강남구,도곡2동,645.0,5068528.0,0.0001
강남구,수서동,335.0,2407320.0,0.0001
송파구,잠실6동,1914.0,21074680.0,0.0001
송파구,문정2동,2900.0,21790960.0,0.0001
중구,동화동,204.0,2408240.0,0.0001
성북구,장위3동,4.0,29704.0,0.0001
종로구,평창동,258.0,25925880.0,0.0
종로구,부암동,375.0,22244150.0,0.0
종로구,이화동,389.0,10418504.0,0.0
종로구,창신3동,33.0,920584.0,0.0
종로구,숭인1동,59.0,2180332.0,0.0
용산구,원효로2동,162.0,4882320.0,0.0
용산구,이촌2동,94.0,2050920.0,0.0
용산구,효창동,163.0,6352476.0,0.0
용산구,후암동,877.0,19135368.0,0.0
용산구,서빙고동,202.0,6203004.0,0.0
용산구,보광동,299.0,7210740.0,0.0
성동구,응봉동,54.0,2294640.0,0.0
성동구,마장동,639.0,18795646.0,0.0
성동구,송정동,303.0,7095704.0,0.0
광진구,능동,153.0,5853822.0,0.0
동대문구,휘경2동,351.0,7177800.0,0.0
중랑구,면목5동,332.0,8222080.0,0.0
중랑구,묵1동,343.0,8665436.0,0.0
중랑구,중화1동,266.0,7804600.0,0.0
중랑구,상봉1동,445.0,15622600.0,0.0
중랑구,신내1동,785.0,16178010.0,0.0
성북구,성북동,762.0,18664192.0,0.0
성북구,정릉4동,352.0,9663712.0,0.0
성북구,정릉2동,250.0,7301992.0,0.0
성북구,정릉1동,273.0,5977518.0,0.0
성북구,보문동,111.0,2431152.0,0.0
성북구,월곡1동,456.0,9193624.0,0.0
성북구,장위1동,309.0,6260388.0,0.0
성북구,장위2동,451.0,9329754.0,0.0
강북구,인수동,534.0,14774631.0,0.0
강북구,우이동,659.0,14512540.0,0.0
강북구,수유2동,529.0,11841465.0,0.0
강북구,번2동,76.0,1793352.0,0.0
도봉구,쌍문1동,365.0,9614060.0,0.0
도봉구,방학2동,632.0,17078158.0,0.0
도봉구,도봉1동,1162.0,47911344.0,0.0
도봉구,창2동,353.0,7350250.0,0.0
은평구,증산동,474.0,13626343.0,0.0
은평구,신사2동,227.0,6479416.0,0.0
은평구,구산동,720.0,17936292.0,0.0
은평구,신사1동,377.0,11473792.0,0.0
은평구,갈현2동,922.0,19509598.0,0.0
은평구,역촌동,771.0,19315961.0,0.0
은평구,불광2동,800.0,18091567.0,0.0
은평구,녹번동,752.0,16371937.0,0.0
서대문구,북가좌2동,688.0,17755756.0,0.0
마포구,성산2동,675.0,23473650.0,0.0
마포구,성산1동,965.0,25076093.0,0.0
양천구,신월3동,360.0,11310946.0,0.0
양천구,신월5동,298.0,8327592.0,0.0
양천구,신월7동,456.0,10342038.0,0.0
양천구,신정3동,100.0,2686948.0,0.0
양천구,신월4동,443.0,10228104.0,0.0
양천구,신월2동,284.0,9405755.0,0.0
양천구,목4동,629.0,13607973.0,0.0
양천구,목2동,495.0,10741740.0,0.0
양천구,신정7동,16.0,1252320.0,0.0
강서구,공항동,1002.0,20616034.0,0.0
강서구,방화2동,813.0,34897484.0,0.0
강서구,발산1동,586.0,21024208.0,0.0
강서구,우장산동,537.0,12076822.0,0.0
강서구,화곡본동,655.0,17876316.0,0.0
강서구,화곡8동,531.0,10789240.0,0.0
강서구,화곡2동,336.0,14641328.0,0.0
강서구,등촌1동,482.0,10249984.0,0.0
강서구,등촌2동,67.0,2971406.0,0.0
강서구,염창동,69.0,2063249.0,0.0
구로구,수궁동,282.0,14621270.0,0.0
구로구,오류1동,708.0,15679145.0,0.0
구로구,개봉1동,388.0,8670684.0,0.0
구로구,개봉2동,180.0,3958448.0,0.0
구로구,신도림동,165.0,6127704.0,0.0
구로구,구로2동,2029.0,43225364.0,0.0
금천구,독산1동,1477.0,37461036.0,0.0
금천구,독산2동,467.0,12901676.0,0.0
금천구,시흥3동,300.0,7054588.0,0.0
금천구,시흥5동,444.0,14586386.0,0.0
금천구,시흥4동,371.0,9429068.0,0.0
금천구,시흥2동,112.0,2326896.0,0.0
영등포구,도림동,424.0,10077573.0,0.0
영등포구,신길5동,196.0,6481335.0,0.0
영등포구,신길3동,223.0,5137824.0,0.0
영등포구,신길1동,591.0,15687048.0,0.0
영등포구,신길7동,107.0,5095116.0,0.0
동작구,신대방1동,419.0,8875296.0,0.0
동작구,상도3동,335.0,8693320.0,0.0
동작구,노량진2동,380.0,9994639.0,0.0
동작구,사당5동,74.0,1629528.0,0.0
동작구,사당3동,193.0,5427880.0,0.0
관악구,미성동,618.0,14694904.0,0.0
관악구,난향동,63.0,2163672.0,0.0
관악구,난곡동,424.0,12930043.0,0.0
관악구,서림동,621.0,13301496.0,0.0
관악구,남현동,345.0,9026388.0,0.0
서초구,방배3동,69.0,3822224.0,0.0
서초구,내곡동,109.0,4164571.0,0.0
강남구,개포4동,398.0,12094687.0,0.0
강남구,세곡동,336.0,20544189.0,0.0
송파구,삼전동,584.0,19451446.0,0.0
송파구,방이2동,5665.0,125032478.0,0.0
송파구,송파2동,72.0,3184864.0,0.0
송파구,풍납1동,208.0,4326733.0,0.0
송파구,문정1동,604.0,12151808.0,0.0
송파구,거여1동,272.0,5906180.0,0.0
송파구,마천1동,551.0,11543160.0,0.0
강동구,천호1동,694.0,16874973.0,0.0
강동구,고덕1동,232.0,5788480.0,0.0
강남구,대치1동,243.0,6530120.0,0.0
송파구,가락1동,383.0,24638120.0,0.0
관악구,청림동,21.0,695304.0,0.0
